localização;texto;qtd_emojis
Rio de Janeiro - RJ - Brasil;"#Aquecimentoglobal mudará os padrões das chuvas de verão no leste da China https://t.co/DfbTMsAP3p";"0 -> "
Brasil;"Se as #mudançasclimáticas não forem contidas, os custos anuais globais de #inundações vão aumentar para US$ 14 trilhões em 2100. Além disso, 600 milhões de pessoas serão afetadas https://t.co/UU6m95RBuw https://t.co/baKtKeKEOg";"0 -> "
Brasil;"Florestas e agricultura são parte da solução contra crise climática: https://t.co/dS6YEXfoYg #criseclimática #aquecimentoglobal #camadadeozônio https://t.co/a3qWf7uliJ";"0 -> "
Rio de Janeiro - RJ - Brasil;"#MudançasClimáticas - Novos dados mostram que os eventos climáticos extremos tornaram-se mais frequentes nos últimos 36 anos https://t.co/wuFEd8WTIj";"0 -> "
Rio de Janeiro - RJ - Brasil;"Extremos climáticos causados pelas #mudançasclimáticas podem aumentar o risco de #escassez de #alimentos em muitos países https://t.co/dP8WdowX8Y";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Aquecimentoglobal exacerbará as #secas na Europa - as secas durarão mais, afetarão áreas maiores e terão impacto sobre mais pessoas https://t.co/ETly7aSHth";"0 -> "
Rio de Janeiro - RJ - Brasil;"#MudançasClimáticas: Cientistas projetam uma #Amazônia #seca no futuro https://t.co/PeRxPR3asb";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Aquecimentoglobal - Aderir ao acordo de Paris pode reduzir significativamente as mortes causadas pelo calor no verão https://t.co/Q1f4VzwwYs";"0 -> "
São Paulo, BRASIL;"São Paulo se mobiliza pelos Parques Ameaçados pela Especulação Imobiliária.https://t.co/fdT96TZXBq #ParqueAugustaJá #ParqueAugustaVive #ParqueAugustaResiste #ParquesUrbanos #Clima #MudançasClimáticas #CriseDaÁgua #CriseHídrica #Seca #Mananciais #Congresso #Poder #Governo #Água https://t.co/42mAIIuj7j";"0 -> "
São Paulo, BRASIL;"Seca Piora em SP e deve e Falta Água.SABESP e Governo do Estado de SP estão omissos.https://t.co/BZ6BLXw3SY #Copa2018 #BrasileBélgica #BrasilXBélgica #CopadoMundo #Copa #CopadoMundoDeFutebol #CopaDaRússia #Futebol #MudançasClimáticas #Racionamento #EconomiadeÁgua #FLIP2018 #Flip https://t.co/QG66Gr0gBM";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Aquecimento Global #Mudançasclimáticas - Acelerar o progresso na redução das emissões de carbono salvaria milhões de vidas, principalmente nas áreas metropolitanas https://t.co/1lide5QZiE";"0 -> "
Rio de Janeiro - RJ - Brasil;"Riachos e rios podem bombear CO2 para o ar a taxas crescentes se continuarem aquecendo, potencialmente aumentando os efeitos do #aquecimentoglobal https://t.co/JEiGQ8wjpX";"0 -> "
;"????O Comitê Consultivo Nacional (CCN) do Pacto Global de Prefeitos na #Bolívia se reuniu na sexta-feira passada, dia 29 de junho, para desenvolver esatratégias nacionais para envolver as cidades do país #GCoMLAC #MudançasClimáticas @UEenBolivia https://t.co/0gotGKe64a";"2 -> bo   earth_americas   "
Rio de Janeiro - RJ - Brasil;"#AquecimentoGlobal - Estudo sugere que um clima mais quente diminuiria a capacidade de muitos microclimas florestais para moderar os extremos climáticos no futuro https://t.co/jHQc0HNTG8";"0 -> "
Rio de Janeiro - RJ - Brasil;"Novo estudo relaciona as #mudançasclimáticas ao potencial declínio de #abelhas https://t.co/ako3nRC2Pa";"0 -> "
Brazil;""As #MudançasClimáticas ameaçam cerca de 180.000 sítios arqueológicos do Ártico canadense, do Ártico norueguês e do Alasca": https://t.co/dRCU9NKPdC Via @destak";"0 -> "
Rio de Janeiro - RJ - Brasil;"#MudançasClimáticas: #Florestas podem perder a capacidade de proteger contra os extremos do #clima https://t.co/QkDYNYOW4f";"0 -> "
Campina do Monte Alegre;"BioAspectus: Aquecimento global: A Terra em mudança https://t.co/CN5jsPSePv #mudançasclimáticas #polarcaps #meltingglaciers #warmingocean";"0 -> "
Rio de Janeiro - RJ - Brasil;"Novo estudo indica o aumento do nível do mar após o colapso das plataformas de gelo da #Antártida https://t.co/bYziRHYMNJ #degelo #aquecimentoglobal #mudançasclimáticas";"0 -> "
Brazil;""Maior economia mundial vem reduzindo o uso de #carvão na sua matriz energética, mas mesmo assim continua entre os maiores emissores per capita de gás que contribui para o #efeitoestufa": https://t.co/b7GcNIIT7D Via @gazetadopovo";"0 -> "
Portugal;"#AquecimentoGlobal é cantiga! Dinheiro fácil para cobrar impostos e são Triliões e triliões de dólares anualmente cobrados pelo mundo! O #CO2 é um gás da #vida. Um #vulcão em #erupção, larga mais toneladas de CO2, do que o Ser Humano consegue produzir em anos!";"0 -> "
Brasil;"#Tempocom #Furacões #mudançasclimáticas #metorologia ? Furacões podem ficar mais destrutivos? Carolina Barnez Gramcianinov te conta mais sobre isso! ? https://t.co/nUFWZRDJcU";"3 -> point_down   question   earth_americas   "
Brasil;"Desmatamento é 2ª maior causa das mudanças climáticas, revela FAO: https://t.co/J3ZuBdLret #desmatamento #mudançasclimáticas #aquecimentoglobal https://t.co/erfwiQYWHu";"0 -> "
Piracicaba, SP, Brasil;"#EntreNoClima! Mariama Vendramini fala neste vídeo como o mundo tem tratado as mudanças climáticas. Participe você também dessa discussão! Acesse: https://t.co/9GVchCmob4 #MudançasClimáticas #Clima #AquecimentoGlobal #Sustentabilidade #EfeitoEstufa #MeioAmbiente";"0 -> "
São Lourenço da Serra;"#mudancasclimaticas #CoP no Brasil em 2019:importante para DAR transparência e informações sobre #desmatamento zero, #EnergiaSolar fim de subsídios #combustiveisfosseis e #antifracking @350brasil @LacP10info #principio10 @CoesusAL https://t.co/uRtKRica6v";"0 -> "
São José dos Campos, Brasil;"Bom dia!!! E esse tempo que mudou?!? Fala sério piscou tá frio, piscou tá calor!!! #mudançaclimática #clima #frio";"0 -> "
Rio de Janeiro - RJ - Brasil;"Derretimento do #permafrost aumenta emissão de gases de #efeitoestufa, acelerando o #aquecimentoglobal https://t.co/jfc9d0SoTh";"0 -> "
Rio de Janeiro, Brasil;"Daqui a pouco palestrinha sobre Sustentabilidade, Inovação e Empreendedorismo!!! UFAL - Delmiro Gouveia #sustentaí #sustentabilidade #inovação #empreendedorismo #mudançasclimaticas… https://t.co/EcqxFW7nYl";"0 -> "
São Lourenço da Serra;"França emenda sua #constituição e inclui #prevenção de #mudancasclimaticas como objetivo nacional . #aquecimentoglobal #direito #meioambiente https://t.co/BCCh2KpyS8";"0 -> "
Brasil;"Arquivo. #Desastresnaturais #AquecimentoGlobal Onda de #calor deixa 14 mortos no Japão durante fim de semana prolongado https://t.co/QA2Yo0uKPO";"0 -> "
Piracicaba, SP, Brasil;"Renato Morgado, coordenador de políticas publicas do Imaflora, participou pela manhã de um painel sobre Dados Abertos e Clima, com representantes do governo da Geórgia, do Open Charter e do WRI. #DadosAbertos #OpenGovernment #SEEG #EfeitoEstufa https://t.co/PewZG16qcN";"0 -> "
Piracicaba, SP, Brasil;"@renato_morgado, coordenador de políticas publicas do Imaflora, participou pela manhã de um painel sobre Dados Abertos e Clima, com representantes do governo da Geórgia, do Open Charter e do WRI. #DadosAbertos #OpenGovernment #SEEG #EfeitoEstufa https://t.co/jRdkAq72Fn";"0 -> "
Brasil;"#MeioAmbiente Projeto de Sérgio Vidigal destina recursos para campanhas sobre mudanças climáticas. https://t.co/mKHi2rrzku #MudançasClimáticas #Preservação #SomosTodosPDT https://t.co/VxavvaZGnW";"0 -> "
Brazil;"#MudançasClimáticas - "ATerra está sendo atingida por fenômenos meteorológicos extremos, incluindo calor e incêndios incontroláveis e enchentes pluviais devastadoras. Com base nas leis da física, os eventos serão cada vez mais frequentes e piores": https://t.co/qVUj87XU6o";"0 -> "
Los Angeles, CA-Ubatuba Brasil;"Esse pirula é a maior farsa, um pilantra e vagabundo,charlatão, flh da puta. Quando eu marquei ele e 1 dos patrões dele, charlatão de merda akexandre de costas num tópico onde CIENTISTAS DE VERDADE,estavam estraçalhando esses o dogma #aquecimentoglobal me bloqueou e saiu correndo";"0 -> "
Brazil;"https://t.co/aTxH7OT2zx Cientistas que acompanham a #temperatura da parte norte dos oceanos #Pacífico e #Atlântico registraram a semana mais quente da história #aquecimentoglobal #mudançasclimáticas #temperaturasextremas (Foto: Pixabay) https://t.co/BJ0MPdQHx4";"0 -> "
;"Coalizão global de indivíduos e empresas pelo desenvolvimento sustentável ZCO2 lançou curso online sobre #mudançasclimáticas com certificação pelas @NacoesUnidas. Saiba como fazer o curso: https://t.co/gdYNUZ3iyZ @uncclearn https://t.co/umW8yUUcQ8";"0 -> "
Brasil;"O Brasil precisa virar o jogo do CO2: https://t.co/rIDFeyXAng #CO2 #emissãodegases #efeitoestufa https://t.co/y2V6I7ziAD";"0 -> "
Rio de Janeiro - RJ - Brasil;"Crise ambiental, #mudançasclimáticas e os riscos na #Amazônia https://t.co/v6CvjBszXS";"0 -> "
São Lourenço da Serra;"Fique ligado: vem aí a Cúpula Global de Ação Climática, San Francisco, Califórnia, Set/2018: Una-se com movimentos para lidar com #mudançasclimaticas #aquecimentoglobal https://t.co/qr5hbmZivI https://t.co/jlhpiOxzHD Brasil https://t.co/qr5hbmZivI";"0 -> "
Rio de Janeiro - RJ - Brasil;"#MudançasClimáticas: Cientistas projetam uma #Amazônia seca no futuro https://t.co/PeRxPR3asb";"0 -> "
Sao Paulo;"@gnatalini #AquecimentoGlobal https://t.co/kZX6mXJoYS";"0 -> "
Brazil;"Para quem quiser ler o artigo: https://t.co/o7yxz1CLuW #mudançasclimaticas #Politica #clima #climatechange #Politics #climate";"0 -> "
Brasil;"#Tempocom #Julho2018 ??As altas #temperaturas se fizeram presentes em varias localidades do planeta nas últimas semanas. ? Quais as suas relações com as #mudançasclimáticas? Enzo Campetella te conta mais sobre isso. ? @LeandroPuchalsk @Piter_Scheuer https://t.co/oNL6dznlxR";"3 -> point_down   earth_americas   thermometer   "
Cuiabá, Alta Floresta - MT;"No canal de Cristian Wariu, ele conta sobre a construção do Projeto REM, programa pensado para tribos indígenas de Mato Grosso. Entenda mais: https://t.co/f4pN1WDyxK #ProjetoREM #REDD #mudançasclimáticas #deforestation #CristianWariu #comunidadesextrativistas";"0 -> "
Cuiabá, Alta Floresta - MT;"Confira o teaser da 3ª Oficina de Multiplicadores Indígenas, do Projeto REM: https://t.co/cKpRkQwX8e #ProjetoREM #REDD #mudançasclimáticas #deforestation #comunidadesextrativistas";"0 -> "
Cuiabá, Alta Floresta - MT;"O Projeto REM é uma realização do @fepoimt1 e do ICV com apoios da @funaibrasil, do @giz_gmbh e @KfW #ProjetoREM #REDD #mudançasclimáticas #deforestation";"0 -> "
Cuiabá, Alta Floresta - MT;"Sob a mensagem-chave de: A proteção das florestas vale a pena!, o programa fomenta a conservação das florestas e a redução de emissões de CO2 que ajudam no desmatamento. #ProjetoREM #REDD #mudançasclimáticas #deforestation #conservaçãodasflorestas";"0 -> "
Cuiabá, Alta Floresta - MT;"Você conhece o Programa Global REDD para Early Movers (REM)? É um piloto da Cooperação Alemã que remunera e premia o esforço de redução das mudanças climáticas em países que implantaram as primeiras iniciativas de REDD+. #ProjetoREM #REDD+ #mudançasclimáticas";"0 -> "
Belo Horizonte, Brasil;"As mudanças climáticas na educação escolar. Como abordar o assunto com crianças e adolescentes? #Sustentabilidade #MudançasClimáticas #Educação https://t.co/JRFZggojbS";"0 -> "
Brasil;"? #Poluição e as #MudançasClimáticas vêm provocando danos aos #recifesdecorais. A oceanógrafa Carolina Barnez Gramcianinov te conta mais sobre isso! ? https://t.co/mEL0u5erDn";"2 -> point_down   earth_americas   "
São Paulo;"#Mudançasclimáticas Aproximadamente 20% das emissões de gases do efeito estufa são causadas pelo #desmatamento, revela relatório da FAO Via @ecodebate https://t.co/XCaxVuboN9";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Mudançasclimáticas - Aproximadamente 20% das emissões de gases do efeito estufa são causadas pelo #desmatamento, revela relatório da FAO https://t.co/vV5X2E3xKx";"0 -> "
Brasil;"“The real message here to me is not that this particular event is unprecedented, but that it’s not unprecedented: that these monster calving events are becoming more and more common as time goes on." #MudançasClimáticas #climatechange #cambioclimatico https://t.co/UY0XzzRijo";"0 -> "
;"Correndo o risco de ser repetitiva: não era suposto estarmos em julho? #AquecimentoGlobal";"0 -> "
Neves;"Passando só p avisar ?????? #BoaTarde #aquecimentoglobal #mentira #farsa #pas https://t.co/JEnjV8nS9R";"1 -> v   "
Galicia (España);"#Brasil corre risco de não cumprir meta contra o #AquecimentoGlobal https://t.co/LTX2WmzKWQ https://t.co/VbLhfsrWu3";"0 -> "
São Paulo, SP - Brasil;"Você quer entender sobre #mudançaclimática? Experimente o #curso gratuito da #NaçõesUnidas! &gt;https://t.co/8ma4cilemf https://t.co/DHDHYfyyPI";"0 -> "
Geneva, Switzerland;"Você quer entender sobre #mudançaclimática? Experimente o #curso gratuito da #NaçõesUnidas! &gt;https://t.co/4B6vOrYR4i https://t.co/kgbtxR5nx2";"0 -> "
Brasília, Brasil;"Vale lembrar: O #AcordodeParis estabelece como meta global limitar o aumento das temperaturas médias globais em até 2°C acima dos níveis pré-industriais. #ODS #COP22 #sustentabilidade #mudançaclimática #bioeconomia https://t.co/63rRNd1lcS";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Mudançasclimáticas - Professores da Coppe/UFRJ revelam o custo do retrocesso na política ambiental do governo brasileiro https://t.co/WPPFFeUZGD";"0 -> "
Campinas, Brasil;"Retrocessos na #políticaambiental brasileira comprometem metas assumidas pelo país para o cumprimento do #AcordodeParis para limitar o #aquecimentoglobal https://t.co/ryVYkNH4g8 https://t.co/ZwvfWvjkI7";"0 -> "
Porto Alegre;""Barganhas políticas" ameaçam o combate ao aquecimento global https://t.co/arx5xfmSGL #AquecimentoGlobal #BarganhasPolíticas #Desmatamento #GasesEstufa https://t.co/r7WWwVngxf";"0 -> "
João Pessoa, Paraíba, Brasil;"Retrocesso ambiental pode custar US$ 5 tri ao Brasil até 2050, diz estudo - https://t.co/oKpBHdepa0 #MeioAmbiente #MudançasClimáticas";"0 -> "
Sao Paulo, Brasil;"#aquecimentoGlobal https://t.co/M85378oVYQ";"0 -> "
São Paulo, BRASIL;"#ParquesUrbanos são essenciais para garantir a #SegurançaHídrica e atenuar #Seca e #MudançasClimáticas.…https://t.co/oAliinRLAA #CriseHídrica #CriseDaÁgua #ParqueAugusta #ParquedoBixiga #RedeNovosParques #MeioAmbiente #CovasSendoCovas #PrefeituraSP #Covas #BrunoCovas #Ecologia https://t.co/xV7jevQYpi";"0 -> "
Jundiaí, Brasil;"@andretrig O inverso também acontece: o frio extremo, aquela melancolia de céus cinzentos... acho que você já leu sobre isso. #AquecimentoGlobal #globalwarming #ClimateChange #Saúde";"0 -> "
Sampa / Brasil;"Só acho que esse ano a terra será um caldeirão... Vai ferver! Inverno foi bem "nutella". Ninguém falando sobre #aquecimentoglobal, quando chegar o calor vao lembrar.";"0 -> "
Rio de Janeiro, Brasil;"Artigo publicado na Nature mostra que temperaturas mais altas elevaram taxas de suicídio nos Estados Unidos e no México. Pesquisadores mapearam riscos se aquecimento global não for contido. #AquecimentoGlobal #globalwarming #ClimateChange #Saúde https://t.co/d7oa0kEclC";"0 -> "
Recife;"Solar facility - More than 250 panels. 325Wp each. Going Solar!! #stationcharger #synergy #solarfarm #mudancasclimaticas #solarenergy #renewableenergy #utah #usa #irena #electricity… https://t.co/SAZrJQXsmJ";"0 -> "
Recife;"#stationcharger #synergy #solarfarm #mudancasclimaticas #solarenergy #renewableenergy #utah #usa #irena #electricity #recife #renewables #energiasolar #solar #energiarenovavel… https://t.co/ErrrDmecbY";"0 -> "
Recife;"Solar Farm with 250 Canadian Solar Panels, 325W each. Powering low income residences. #stationcharger #synergy #solarfarm #mudancasclimaticas #solarenergy #renewableenergy #utah #usa… https://t.co/WaCJH9uO6i";"0 -> "
Recife;"Globally, 1.5 million people now work with hydropower – the renewable energy source with the most generation capacity. #stationcharger #synergy #solarfarm #mudancasclimaticas #solarenergy… https://t.co/lQxEzO0Jq9";"0 -> "
Pelo mundo...;"Hoje estou a #lokadasthreads no twitter, então aí vai outra importante, sobre #mudançasclimáticas https://t.co/pih6f5Okgp";"0 -> "
;"Coalizão global de indivíduos e empresas pelo desenvolvimento sustentável ZCO2 lançou curso online sobre #mudançasclimáticas com certificação pelas @NacoesUnidas. Saiba como fazer o curso: https://t.co/gdYNUZ3iyZ @uncclearn https://t.co/k8izOaUodN";"0 -> "
Brasil;"Arquivo. #Desastresnaturais #AquecimentoGlobal #Incêndioflorestal na Califórnia deixa dois mortos e provoca fuga de moradores https://t.co/vWRCIe95Lm";"0 -> "
;"Oportunidade para área de #comunicação social e #mudançasclimáticas, no #Canadá. Prazo para envio de candidaturas: 1 de agosto. Mais informações: https://t.co/YiB6zIAkLR https://t.co/YiB6zIAkLR";"0 -> "
Brasil;"É bom abrir o olho com o clima. “É como viver numa sauna”, definiu a governadora de Tóquio, depois de os termômetros passarem dos 40°C no #Japão. Segundo cientistas, dificilmente o #clima na Terra voltará ao normal: https://t.co/nzjwyBuQ08 #MelhoraEsseClima #MudançasClimáticas https://t.co/OHTQ7H8o5u";"0 -> "
Brasil;"#climatechange #aquecimentoglobal #climachange #Science #FakeNews https://t.co/VUwh4r2WWo";"0 -> "
Pantanal;"Desde 2010, o #BNDES é a agência financiadora que viabiliza recursos para apoiar projetos e empreendimentos que tenham como propósito a mitigação das #mudançasclimáticas. https://t.co/jJAfk7iYpC";"0 -> "
Ferraz de Vasconcelos, SP - Brasil.;"Essa discussão precisa ser feita: precisamos de mais transporte público e mais restrição ao transporte individual #Mudançaclimática @CathClimateMvmt Valor Econômico - País deve limpar matriz energética a partir do transporte, defende instituto - https://t.co/XZYF0Hxbyu";"0 -> "
Vila Nova De Milfontes;"Coitado, ele lá de cima viu água, mas quando chegou cá a baixo já tinha secado... #aquecimentoglobal https://t.co/BbfZyZMZM9";"0 -> "
Rio de Janeiro - RJ - Brasil;"À medida que as temperaturas globais sobem, grandes quantidades de carbono sequestrado em permafrost estão se tornando disponíveis https://t.co/ZRhNByZSUH #degelo #aquecimentoglobal #CO2";"0 -> "
Galicia (España);"Desaceleração de correntes oceânicas pode intensificar #AquecimentoGlobal https://t.co/s7LMAn55I5 https://t.co/m6pNtyV0sz";"0 -> "
Rio de Janeiro - RJ - Brasil;"Riachos e rios podem bombear dióxido de carbono para o ar a taxas crescentes se continuarem aquecendo, potencialmente aumentando os efeitos do aquecimento global https://t.co/JEiGQ8wjpX #aquecimentoglobal #CO2";"0 -> "
SGC-Amazonas;"?? #Filme #MudançasClimáticas #Quentura # MulheresIndígenas Vamos exibir na Maloca da Foirn as 12h o documentário QUENTURA, que conta como as mulheres indígenas estão percebendo e sentindo as mudanças... https://t.co/pKWlffljgO";"1 -> clapper   "
São Paulo, Brasil;"Segundo a porta-voz da Organização Mundial de Meteorologia Clare Nullis, "a #tendência é continuarmos tendo ondas de calor extremas, como consequência das #MudançasClimáticas" - Terra Notícias @ERS_Imobiliario https://t.co/thUGHI0eSf https://t.co/NYc7wzSTrw";"0 -> "
Brasil;"#Tempocom ? #MudançasClimáticas e #AquecimentoGlobal??Será que são a mesma coisa? ? Carolina Barnez Gramcianinov explica isso para você! @Piter_Scheuer @ConexaoGeoClima @agoranotempo @LeandroPuchalsk @Climaterra @temposleopoldo @JoinvilleTempo https://t.co/JEtrBwDBsb";"3 -> earth_americas   thinking   thermometer   "
São Paulo, BRASIL;"IBGE informa que em 2060 1 a cada 4 brasileiros terá mais de 65 anos.Brasil não está preparado para o envelhecimento da população..https://t.co/hpJRoDDUW5 #MeioAmbiente #PoluiçãoAtmosférica #Ecologia #Cultura #Arte #Artivismo #Ativismo #Clima #MudançasClimáticas #PoluiçãoDoAr https://t.co/rg81aUZNwt";"0 -> "
Belém, Pará, Brasil;"Até a terra do papai Noel tá queimando. #aquecimentoglobal #Mudançadoclima https://t.co/nELnFAOhFb";"0 -> "
Brasil;"Aparelhos de #refrigeração, como o #arcondicionado, são essenciais para milhões de pessoas no mundo. Mas a #ineficiênciaenergética deles pode contribuir para o agravamento das #mudançasclimáticas https://t.co/MLbsvGH546 https://t.co/au0JwfJcFK";"0 -> "
Rio de Janeiro - RJ - Brasil;"A taxa em que o nosso planeta está aquecendo é um fator crítico para explicar o declínio de espécies de aves e mamíferos https://t.co/05kzv1k7Z2 #aquecimentoglobal #mudançasclimáticas #extinção #climatechange";"0 -> "
Brasil;"?? verão 2018 vai ser ? #aquecimentoglobal ? https://t.co/jjZ7OYBXMp";"2 -> br   earth_americas   "
Makeourplanetgreatagain;"Daqui a pouco tá o ser humano indo lá acabar com o outro planeta também. #globalwamring #aquecimentoglobal existe sim! https://t.co/lJfOLnULT7";"0 -> "
São Paulo, BRASIL;"Falta Água em SP. Racionamento e Combate ao Desperdício são Urgentes.https://t.co/BZ6BLXw3SY #CriseHídrica #CriseDaÁgua #Seca #Cantareira #Represas #MeioAmbiente #ParqueAugusta #Ecologia #Sustentabilidade #Verde #Clima #MudançasClimáticas #Câmara #Senado #Jornalismo #Eleições2018 https://t.co/wn9q0m1hvR";"0 -> "
São Paulo, BRASIL;"Incêndios na Grécia, Onda de Calor no Japão, Enchentes no Laos, Seca no Brasil são efeitos das Mudanças Climáticas. Se não Tiver Árvores, Não Vai Ter Água. https://t.co/lZJfzD1zIG #Congresso #CriseHídrica #Estiagem #AquecimentoGlobal #Eleições2018 #Eleições #Jornalismo #Notícias https://t.co/ydO9wZgWfH";"0 -> "
Rio de Janeiro - RJ - Brasil;"Declínios populacionais de mamíferos e aves são ligados ao rápido aquecimento do clima https://t.co/05kzv1k7Z2 #aquecimentoglobal #mudançasclimáticas #biodiversidade #clima";"0 -> "
São Paulo, BRASIL;"Colapso de Barragem no Laos lembra Mariana, o maior crime ambiental do Brasil, que permanece impune 3 anos depois.https://t.co/0SN4PiVmk2 #Eleições #Reportagem #Notícias #Clima #NãoFoiAcidente #SomosTodosAtingidos #2AnosdeLamaeLuta #MAB #MudançasClimáticas #Seca #Chuvas #Água https://t.co/3ttb7XWx60";"0 -> "
